timestamp,equity,paper_capital,total_realized_pnl,total_unrealized_pnl
2025-11-14T06:12:50.253668+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:14:09.489380+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:15:27.962266+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:16:47.293870+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:18:05.572495+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:19:24.891492+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:20:43.091047+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:22:01.510611+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:23:19.347279+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:24:37.390928+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:25:55.536316+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:27:13.705575+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:28:33.468556+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:29:51.823899+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:31:09.705541+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:32:27.998966+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:33:47.987212+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:35:08.456621+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:36:32.522493+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:37:50.299649+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:39:09.303930+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:40:27.371633+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:41:45.146102+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:43:03.195207+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:44:20.979412+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:45:39.626749+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:46:57.491727+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:48:15.352585+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:49:33.973830+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:50:52.365169+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:52:10.585337+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:53:28.627704+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:54:46.573977+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:56:05.175796+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:57:24.149534+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T06:58:46.264875+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:00:05.043716+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:01:24.044698+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:02:43.699940+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:04:03.917858+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:05:30.055746+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:06:50.849720+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:08:10.026234+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:09:11.031166+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:10:30.264292+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:11:49.806017+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:13:09.230032+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:14:10.020918+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:15:29.866836+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:16:56.944554+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:18:17.719377+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:19:37.238334+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:20:59.004850+00:00,500000.0,500000.0,0.0,0.0
2025-11-14T07:22:21.097660+00:00,500000.0,500000.0,0.0,0.0
