timestamp,signal_id,logical,symbol,price,signal,tf,reason,profile,mode,confidence,trend_context,vol_regime,htf_trend,playbook,setup_type,ema20,ema50,ema100,ema200,rsi14,atr,adx14,adx,vwap,rel_volume,vol_spike,strategy
2025-11-17T14:09:43.361269+05:30,306ee77b-205a-407a-8d78-5d68bcf1c51f,EQ_INFY|EMA_TREND,INFY,1507.6,HOLD,15m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=1507.6, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,INTRADAY,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.363316+05:30,e5b53b07-118a-4677-9f1b-25dd5e50d5ad,EQ_INFY|EMA_TREND,INFY,1507.6,HOLD,60m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=1507.6, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,SWING,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.365518+05:30,8e23fdab-348e-4bb5-9956-c8c615b81bbf,EQ_INFY|EMA_TREND,INFY,1507.6,HOLD,1D,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=1507.6, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,CONTEXT,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.367180+05:30,bd546b8a-88ff-4ae0-af93-9cbf22e47c18,EQ_INFY|EMA_TREND,INFY,1507.6,HOLD,1W,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=1507.6, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,CONTEXT,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.375699+05:30,80f94928-4070-48e5-97fe-145fb39fc8f2,NIFTY_PE|EMA_TREND,NIFTY25N1826050PE,82.0,HOLD,5m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=82.0, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,SCALP,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.379033+05:30,335ec15b-508c-457d-8f64-d02ec3a8f75b,NIFTY_CE|EMA_TREND,NIFTY25N1826050CE,55.25,HOLD,15m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=55.25, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,INTRADAY,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.381068+05:30,46c23b85-3068-420e-8cd0-47fd92037cbe,NIFTY_PE|EMA_TREND,NIFTY25N1826050PE,82.0,HOLD,15m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=82.0, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,INTRADAY,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.383119+05:30,16adfbf9-6b40-461a-81bf-f23390e4de78,NIFTY_CE|EMA_TREND,NIFTY25N1826050CE,55.25,HOLD,60m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=55.25, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,SWING,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.385475+05:30,37cb23a6-44ae-44c2-b1c4-b347a7d81489,NIFTY_PE|EMA_TREND,NIFTY25N1826050PE,82.0,HOLD,60m,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=82.0, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",SWING,SWING,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
2025-11-17T14:09:43.387397+05:30,ca01287b-af29-4e6c-b092-02f4ea404e40,NIFTY_CE|EMA_TREND,NIFTY25N1826050CE,55.25,HOLD,1D,"atr_unavailable|warmup|Indicators warming up or missing for detailed reason: price=55.25, ema20=None, ema50=None, ema100=None, ema200=None, regime=UNKNOWN, signal=HOLD",INTRADAY,CONTEXT,0.0,UNKNOWN,,,atr_unavailable,,,,,,,,,,,,,EMA_TREND
